College,Campus,Level of Preference,Perception Indexing,General Perception (15%),Placements (25%),Infrastructure (20%) ,Graduate Outcome (25%),Student Satisfaction (15%),Overall Score
Shri Ram College of Commerce,North Campus,1,1,5,5,5,5,5,5
Lady Shri Ram College for Women (W),South Campus,1,2,5,5,5,5,5,5
Shaheed Sukhdev College Business Studies,Off Campus,1,3,5,5,5,5,5,5
Hansraj College,North Campus,1,5,5,5,5,5,5,5
Hindu College,North Campus,1,4,5,4.5,5,5,5,4.875
Kirori Mal College,North Campus,2,8,5,4.5,5,5,5,4.875
Ramjas College,North Campus,2,9,5,4.5,5,5,5,4.875
St. Stephen's College,North Campus,2,7,5,4,5,5,5,4.75
Miranda House (W),North Campus,2,6,5,3.5,5,5,5,4.625
Sri Venketeswara College,South Campus,3,10,5,4,5,4.5,4.5,4.55
Daulat Ram College (W),North Campus,3,11,4.5,4,5,4.5,4.5,4.475
Sri Guru Tegh Bahadur Khalsa College,North Campus,3,12,4.5,4,5,4.5,4.5,4.475
Gargi College (W),South Campus,3,14,4.5,4,5,4.5,4.5,4.475
Sri Guru Gobind Singh College of Commerce,Off Campus,3,13,4,4,5,4.5,4.5,4.4
Shaheed Bhagat Singh College,South Campus,3,18,4.5,3.5,5,4.5,4.5,4.35
Indraprastha College for Women (W),North Campus,3,17,4.5,3.5,4.5,4.5,4.5,4.25
Jesus & Mary College (W),South Campus,3,16,4.5,3,5,4.5,4.5,4.225
Delhi College of Arts and Commerce,South Campus,4,19,4,3.5,4.5,4,4,3.975
College of Vocational Studies,South Campus,4,20,4,3.5,4.5,4,4,3.975
Deen Dayal Upadhyaya College,Off Campus,4,22,4,3,5,4,4,3.95
Atma Ram Sanatan Dharma College,South Campus,3,15,4,3,4.5,4,4.5,3.925
Shaheed Bhagat Singh College (Evening),South Campus,4,21,4,3,5,4,3.5,3.875
Aryabhatta College,South Campus,5,23,3.5,2.5,4,4,4,3.55
Keshav Mahavidyalaya,Off Campus,5,27,3.5,2.5,4,4,4,3.55
Motilal Nehru College,South Campus,5,25,3.5,2.5,4,4,3.5,3.475