College,Campus,Location,Nearest Metro Station
Acharya Narendra Dev College,South Campus,Govindpuri,Govindpuri (Violet Line)
Aditi Mahavidyalaya (W),Off Campus,Delhi Auchandi Road,Rithala (Red Line)
Aryabhatta College,South Campus,Anand Niketan,Durgabai Deshmukh (Pink Line)
Atma Ram Sanatan Dharma College,South Campus,Dhaula Kuan,Durgabai Deshmukh (Pink Line)
Bhagini Nivedita College (W),Off Campus,Najafgarh,Dhansa Bus Stand (Gray Line)
Bharati College (W),Off Campus,Janakpuri,Janakpuri East (Blue Line)
Bhaskaracharya College of Applied Sciences,Off Campus,Dwarka,Dashrath Puri (Magenta Line)
Cluster Innovation Centre,North Campus,University Enclave,Vishwavidyalaya (Yellow Line)
College of Vocational Studies,South Campus,Sheikh Sarai,Malviya Nagar (Yellow Line) / Chirag Delhi (Magenta Line)
Daulat Ram College (W),North Campus,Maurice Nagar,Vishwavidyalaya (Yellow Line)
Deen Dayal Upadhyaya College,Off Campus,Dwarka,Dwarka Mor (Blue Line)
Delhi College of Arts and Commerce,South Campus,Netaji Nagar,Bikaji Cama Place (Pink Line) / Sir M. Vishweshwariah Moti Bagh (Pink Line)
Delhi School of Journalism,North Campus,University Enclave,Vishwavidyalaya (Yellow Line)
Department of Germanic and Romance Studies,North Campus,University Enclave,Vishwavidyalaya (Yellow Line)
Deshbandhu College,Off Campus,Kalkaji,Nehru Enclave (Magenta Line) / Kalkaji Mandir (Magenta Line) / Govindpuri (Violet Line)
Dr. Bhim Rao Ambedkar College,Off Campus,Yamuna Vihar (East Delhi),Gokulpuri (Pink Line)
Dyal Singh College,Off Campus,Lodhi Road,JLN Stadium (Violet Line)
Dyal Singh College (Evening),Off Campus,Lodhi Road,JLN Stadium (Violet Line)
Gargi College (W),South Campus,Siri Fort,Green Park (Yellow Line)
Hansraj College,North Campus,Malka Ganj,Vishwavidyalaya (Yellow Line)
Hindu College,North Campus,University Enclave,Vishwavidyalaya (Yellow Line)
Indira Gandhi Institute of Physical Education and Sports Sciences,Off Campus,Vikas Puri,Janakpuri West (Blue Line)
Indraprastha College for Women (W),North Campus,Civil Lines,Civil Lines (Yellow Line)
Institute of Home Economics (W),South Campus,Hauz Khas,Hauz Khas (Yellow Line)
Janki Devi Memorial College (W),Off Campus,Rajinder Nagar,Karol Bagh (Blue Line)
Jesus & Mary College (W),South Campus,Chanakyapuri,Durgabai Deshmukh (Pink Line)
Kalindi College (W),Off Campus,Patel Nagar,Rajendra Nagar (Blue Line)
Kamala Nehru College (W),South Campus,Siri Fort,Green Park (Yellow Line)
Keshav Mahavidyalaya,Off Campus,Pitampura,Pitampura (Red Line)
Kirori Mal College,North Campus,University Enclave,Vishwavidyalaya (Yellow Line)
Lady Irwin College (W),Off Campus,Mandi House,ITO (Violet Line) / Mandi House (Blue Line)
Lady Shri Ram College for Women (W),South Campus,Lajpat Nagar,Lajpat Nagar (Pink Line) / Moolchand (Violet Line)
Lakshmibai College (W),Off Campus,Ashok Vihar,Shasti Nagar (Red Line)
Maharaja Agrasen College,Off Campus,Vasundhrara Enclave,New Ashok Nagar (Blue Line) / Trilokpuri - Sanjay Lake (Pink Line)
Maitreyi College (W),South Campus,Chanakyapuri,Durgabai Deshmukh (Pink Line)
Mata Sundri College for Women (W),Off Campus,Mandi House,ITO (Violet Line) / Barakhamba Road (Blue Line)
Miranda House (W),North Campus,University Enclave,Vishwavidyalaya (Yellow Line)
Motilal Nehru College,South Campus,Benito Juarez Marg,Durgabai Deshmukh (Pink Line)
Motilal Nehru College (Evening),South Campus,Benito Juarez Marg,Durgabai Deshmukh (Pink Line)
P.G.D.A.V College,South Campus,Nehru Nagar,Vinobapuri (Pink Line)
P.G.D.A.V. College,South Campus,Nehru Nagar,Vinobapuri (Pink Line)
P.G.D.A.V. College (Evening),South Campus,Nehru Nagar,Vinobapuri (Pink Line)
Rajdhani College,Off Campus,Raja Garden,Rajouri Garden (Blue Line)
Ram Lal Anand College,South Campus,South Moti Bagh,Durgabai Deshmukh (Pink Line)
Ramanujan College,South Campus,Kalkaji,Nehru Enclave (Magenta Line) / Kalkaji Mandir (Magenta Line) / Govindpuri (Violet Line)
Ramjas College,North Campus,University Enclave,Vishwavidyalaya (Yellow Line)
Satyawati College,Off Campus,Ashok Vihar,Shalimar Bagh (Pink Line) / Model Town (Yellow Line)
Satyawati College (Evening),Off Campus,Ashok Vihar,Shalimar Bagh (Pink Line) / Model Town (Yellow Line)
Shaheed Bhagat Singh College,South Campus,Sheikh Sarai,Malviya Nagar (Yellow Line) / Chirag Delhi (Magenta Line)
Shaheed Bhagat Singh College (Evening),South Campus,Sheikh Sarai,Malviya Nagar (Yellow Line) / Chirag Delhi (Magenta Line)
Shaheed Rajguru College of Applied Sciences for Women (W),Off Campus,Vasandhura Enclave,New Ashok Nagar (Blue Line) / Trilokpuri - Sanjay Lake (Pink Line)
Shaheed Sukhdev College Business Studies,Off Campus,Rohini,Rithala (Red Line)
Shivaji College,Off Campus,Raja Garden,Rajouri Garden (Blue Line)
Shri Ram College of Commerce,North Campus,University Enclave,Vishwavidyalaya (Yellow Line)
Shyam Lal College,Off Campus,Shahdra,Welcome (Red Line)
Shyam Lal College (Evening),Off Campus,Shahdra,Welcome (Red Line)
Shyama Prasad Mukherji College For Women (W),Off Campus,Punjabi Bagh,Shivaji Park (Green Line) / Punjabi Bagh West (Pink Line)
Sri Aurobindo College (Day),South Campus,Malviya Nagar,Malviya Nagar (Yellow Line)
Sri Aurobindo College (Evening),South Campus,Malviya Nagar,Malviya Nagar (Yellow Line)
Sri Guru Gobind Singh College of Commerce,Off Campus,Pitampura,Pitampura (Red Line)
Sri Guru Nanak Dev Khalsa College,Off Campus,Karol Bagh,Shasti Nagar (Red Line) / Karol Bagh (Blue Line)
Sri Guru Tegh Bahadur Khalsa College,North Campus,University Road,Vishwavidyalaya (Yellow Line)
Sri Venketeswara College,South Campus,Dhaula Kuan,Durgabai Deshmukh (Pink Line)
St. Stephen's College,North Campus,University Enclave,Vishwavidyalaya (Yellow Line)
Swami Shardhanand College,Off Campus,Alipur,Samaypur Badli (Yellow Line)
Vivekananda College (W),Off Campus,Vivek Vihar (East Delhi),Jhilmil (Red Line) / Karkarduma Court (Pink Line)
Zakir Husain Delhi College,Off Campus,Ajmeri Gate,New Delhi (Yellow Line) / Delhi Gate (Violet Line)
Zakir Husain Delhi College (Evening),Off Campus,Ajmeri Gate,New Delhi (Yellow Line) / Delhi Gate (Violet Line)